epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.35145,0.64391,0.49442,0.80807,0.97337,0.92836,0.96527,0.78193,0.52772,0.39118,0.80054,6.67e-06,6.67e-06,6.67e-06
2,8.54505,0.63348,0.46727,0.81919,0.9746,0.92828,0.96548,0.78181,0.52805,0.39162,0.80054,1.98119e-05,1.98119e-05,1.98119e-05
3,10.6369,0.55732,0.45324,0.8216,0.97145,0.93784,0.9646,0.77667,0.53234,0.39127,0.80071,3.26897e-05,3.26897e-05,3.26897e-05
4,12.5488,0.54223,0.45023,0.80887,0.97474,0.92075,0.9651,0.77495,0.5445,0.39722,0.80132,4.53033e-05,4.53033e-05,4.53033e-05
5,13.8164,0.56545,0.44172,0.80875,0.96895,0.92597,0.9643,0.77809,0.53778,0.39545,0.80069,5.76528e-05,5.76528e-05,5.76528e-05
6,14.8494,0.59977,0.46167,0.80807,0.97628,0.93324,0.96429,0.77815,0.53552,0.39539,0.80084,6.97382e-05,6.97382e-05,6.97382e-05
7,15.6224,0.5381,0.4508,0.8037,0.96271,0.93238,0.96337,0.77654,0.54171,0.39657,0.80123,8.15594e-05,8.15594e-05,8.15594e-05
8,16.3683,0.54345,0.43134,0.80957,0.95985,0.92892,0.96293,0.78071,0.5478,0.40517,0.80189,9.31165e-05,9.31165e-05,9.31165e-05
9,17.0816,0.57043,0.44354,0.82806,0.96345,0.92537,0.96292,0.7744,0.54491,0.40306,0.80157,0.00010441,0.00010441,0.00010441
10,17.8914,0.57993,0.45285,0.81113,0.96444,0.92409,0.96401,0.77119,0.54467,0.40001,0.80232,0.000115438,0.000115438,0.000115438
11,18.5884,0.63329,0.46346,0.81691,0.96604,0.92441,0.96418,0.77108,0.54358,0.39911,0.80211,0.000126203,0.000126203,0.000126203
12,19.2976,0.59758,0.46198,0.80787,0.95969,0.92916,0.96313,0.76953,0.55406,0.3998,0.80342,0.000136704,0.000136704,0.000136704
13,20.0067,0.60682,0.4491,0.82124,0.96862,0.92959,0.96637,0.77036,0.55725,0.40756,0.80423,0.00014694,0.00014694,0.00014694
14,20.7306,0.58913,0.45923,0.81817,0.96997,0.92041,0.9657,0.76857,0.54713,0.41312,0.80251,0.000156912,0.000156912,0.000156912
15,21.4409,0.58011,0.4499,0.81155,0.96272,0.92108,0.96214,0.7701,0.5596,0.42157,0.80299,0.000166621,0.000166621,0.000166621
16,22.1544,0.58619,0.44233,0.82001,0.96252,0.92036,0.96167,0.76802,0.5869,0.42842,0.80603,0.000176065,0.000176065,0.000176065
17,22.8833,0.63245,0.47214,0.81043,0.96482,0.91645,0.96122,0.75992,0.60488,0.43631,0.80861,0.000185245,0.000185245,0.000185245
18,23.6107,0.61491,0.45385,0.82136,0.96607,0.92835,0.96853,0.76664,0.5847,0.43325,0.8069,0.00019416,0.00019416,0.00019416
19,24.4034,0.58838,0.45034,0.82013,0.97109,0.93427,0.97376,0.7654,0.56395,0.43037,0.80292,0.000202812,0.000202812,0.000202812
20,25.1199,0.68708,0.47713,0.81274,0.97377,0.93077,0.97385,0.7694,0.57666,0.42564,0.80282,0.0002112,0.0002112,0.0002112
21,25.8405,0.66328,0.4828,0.81307,0.97782,0.93346,0.97297,0.76855,0.58158,0.42456,0.8035,0.000219323,0.000219323,0.000219323
22,26.562,0.65312,0.47388,0.81808,0.97921,0.91902,0.9613,0.7684,0.56241,0.42751,0.80274,0.000227182,0.000227182,0.000227182
23,27.3004,0.67102,0.48341,0.80736,0.97553,0.91105,0.95943,0.76402,0.56196,0.43114,0.80322,0.000234777,0.000234777,0.000234777
24,28.0472,0.6366,0.476,0.80657,0.97535,0.91258,0.95839,0.75312,0.58957,0.43658,0.8066,0.000242108,0.000242108,0.000242108
25,28.7511,0.58387,0.45628,0.81636,0.96833,0.91212,0.95545,0.75258,0.60511,0.43667,0.80849,0.000249175,0.000249175,0.000249175
26,29.4436,0.64067,0.49227,0.8203,0.95817,0.9126,0.95592,0.76031,0.59071,0.43084,0.80773,0.000255978,0.000255978,0.000255978
27,30.2536,0.58948,0.45237,0.80533,0.96791,0.90291,0.95824,0.75473,0.58198,0.42028,0.80609,0.000262517,0.000262517,0.000262517
28,30.9574,0.63986,0.4716,0.81284,0.96791,0.90291,0.95824,0.75473,0.58198,0.42028,0.80609,0.000268791,0.000268791,0.000268791
29,31.6882,0.56693,0.45275,0.8244,0.97006,0.90226,0.96161,0.75749,0.5979,0.41554,0.80666,0.000274801,0.000274801,0.000274801
30,32.4085,0.60593,0.45576,0.80977,0.96811,0.91491,0.96516,0.76013,0.60647,0.41594,0.8074,0.000280548,0.000280548,0.000280548
31,33.1024,0.67571,0.48195,0.81497,0.96811,0.91491,0.96516,0.76013,0.60647,0.41594,0.8074,0.00028603,0.00028603,0.00028603
32,33.8285,0.68209,0.46879,0.80963,0.97408,0.91967,0.96874,0.7636,0.58621,0.41686,0.80519,0.000291248,0.000291248,0.000291248
